"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","current_knowledge","reason","leaf_compoundness","leaf_length","seed_height","seed_length","seed_width","plant_growth_form","plant_height","leaf_width","dispersal_appendage","seed_germination_treatment","leaf_delta13C","leaf_water_use_efficiency_intrinsic"
"1","Abildgaardia","1","2","FALSE","FALSE","TRUE","TRUE","TRUE","0.90633608815427","726","TRUE","4","non-endemic",NA,"c(""simple"", ""simple"", ""simple"")","c(""60"", ""400"")","NULL","c(""2"", ""1"")","NULL","c(""tussock"", ""tussock"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"")","c(""1"", ""0.06"", ""0.4"")","c(""1"", ""1"")","c(""none"", ""none"")","NULL","NULL","NULL"
"2","Abroma","1","1","FALSE","FALSE","FALSE","TRUE","TRUE","0.647398843930636","173","TRUE","3","non-endemic",NA,"simple","c(""60"", ""250"")","NULL","c(""3"", ""4"", ""3"", ""4"")","c(""2"", ""3"")","c(""tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"")","c(""5"", ""5"")","c(""55"", ""200"")","NULL","NULL","NULL","NULL"
"3","Abrophyllum","1","1","FALSE","FALSE","FALSE","FALSE","FALSE","1","827","FALSE","0","endemic",NA,"c(""simple"", ""simple"")","c(""45"", ""220"", ""100"", ""200"")","NULL","c(""0.5"", ""0.5"")","c(""0.5"", ""0.5"")","c(""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""shrub tree"", ""shrub tree"", ""shrub tree"")","c(""8"", ""8"", ""8"", ""2.667"", ""8"")","c(""15"", ""80"", ""30"", ""80"")","NULL","NULL","NULL","NULL"
"4","Acanthocarpus","1","7","FALSE","FALSE","FALSE","FALSE","FALSE","1","932","FALSE","0","endemic",NA,"c(""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"")","c(""3"", ""15"", ""4"", ""12"", ""3"", ""20"", ""70"", ""10"", ""30"", ""7"", ""25"", ""10"", ""60"")","c(""3"", ""2.5"")","c(""3"", ""4"", ""3.5"", ""4"", ""4"", ""5"", ""4"", ""5"", ""2.5"", ""4"", ""4"", ""3.75"", ""4.5"", ""4"")","c(""3"", ""2.5"", ""3"", ""4.5"", ""2.5"")","c(""shrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"")","c(""0.6"", ""0.35"", ""0.4"", ""0.7"", ""0.7"", ""0.5"", ""0.6"", ""0.7"")","c(""0.5"", ""2"")","NULL","NULL","c(""-25.51366623"", ""-27.0072704"", ""-27.34854276"", ""-26.92300377"", ""-27.13463357"", ""-28.77215951"", ""-26.35565221"", ""-28.25251867"")","NULL"
"5","Acanthocladium","1","1","FALSE","FALSE","FALSE","FALSE","FALSE","0.987654320987654","81","TRUE","1","endemic","ALA taxonomy error","simple","c(""7"", ""12"", ""7"", ""12"")","NULL","NULL","NULL","c(""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","c(""2"", ""4"", ""2"", ""4"")","NULL","NULL","NULL","NULL"
"6","Aceratium","1","5","FALSE","FALSE","FALSE","TRUE","TRUE","0.735015772870662","634","TRUE","3","non-endemic",NA,"c(""simple"", ""simple"", ""simple"", ""simple"", ""simple"")","c(""45"", ""120"", ""45"", ""90"", ""75"", ""160"", ""30"", ""115"", ""30"", ""75"")","NULL","c(""10"", ""10"", ""8"", ""8"", ""12"", ""12"", ""8"", ""10"", ""15"", ""20"", ""15"", ""18"", ""8"", ""8"", ""10"", ""12"", ""12"", ""12"")","c(""4"", ""5"", ""8"", ""10"", ""8"", ""8"", ""5"", ""6"", ""6"", ""9"")","c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","c(""25"", ""35"", ""30"", ""12"", ""15"", ""25"", ""35"", ""30"", ""12"", ""15"", ""15"")","c(""20"", ""45"", ""15"", ""25"", ""35"", ""75"", ""8"", ""30"", ""5"", ""25"")","NULL","NULL","NULL","NULL"
"7","Achnophora","1","1","FALSE","FALSE","FALSE","FALSE","FALSE","1","57","FALSE","0","endemic",NA,"NULL","c(""15"", ""60"")","NULL","NULL","NULL","c(""herb"", ""herb"", ""herb"")","NULL","NULL","NULL","NULL","NULL","NULL"
"8","Acianthus","1","11","TRUE","TRUE","FALSE","TRUE","FALSE","0.973062763760438","11137","TRUE","4","non-endemic",NA,"c(""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"", ""simple"")","c(""10"", ""24"", ""18"", ""40"", ""8"", ""30"", ""15"", ""32"", ""18"", ""30"", ""15"", ""40"", ""10"", ""40"", ""12"", ""32"", ""8"", ""18"", ""25"")","NULL","NULL","NULL","c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb""
)","c(""0.3"", ""0.25"", ""0.24"", ""0.18"", ""0.1"", ""0.07"", ""0.15"", ""0.07"", ""0.16"", ""0.03"", ""0.04"", ""0.03"")","c(""10"", ""16"", ""14"", ""35"", ""6"", ""20"", ""14"", ""30"", ""15"", ""20"", ""10"", ""25"", ""10"", ""20"", ""10"", ""30"", ""8"", ""12"")","NULL","NULL","NULL","NULL"
"9","Acidonia","1","1","FALSE","FALSE","FALSE","FALSE","FALSE","1","112","FALSE","0","endemic",NA,"c(""compound"", ""simple"", ""simple"")","c(""60"", ""130"", ""50"", ""150"")","NULL","NULL","NULL","c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","c(""3"", ""3"", ""3"")","c(""0.5"", ""1.5"")","NULL","NULL","NULL","NULL"
"10","Aciphylla","1","2","TRUE","FALSE","FALSE","TRUE","FALSE","0.284500693481276","5768","TRUE","3","non-endemic",NA,"c(""compound"", ""simple"")","c(""20"", ""40"")","NULL","c(""7.5"", ""7.66"")","c(""2.73"", ""2.79"")","c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","c(""1.9"", ""2.715"", ""0.3"", ""0.7"", ""0.15"", ""0.5"")","c(""10"", ""20"")","NULL","c(""stratification_cold"", ""stratification_cold"")","c(""-26.6"", ""-26.37"", ""-28.53"", ""-29.55"", ""-26.98"", ""-28.19"", ""-25.61"", ""-25.72"", ""-25.45"", ""-27.86"", ""-26.04"", ""-25.45"", ""-25.89"", ""-28.02"", ""-23.43"", ""-25.89"", ""-25.28"", ""-25.68"", ""-26.04"", ""-24.94"", ""-25.39"", ""-26.95"", ""-25.59"", ""-27.05"", ""-24.85"", ""-26.51"", ""-26.39"", ""-26.52"", ""-24.84"", ""-27.08"", ""-26.36"", ""-26.46"", ""-29.11"", ""-26.91"", ""-25.43"", ""-27.07"", ""-27.59"", ""-28.41"", ""-28.16"", ""-26.1"")","NULL"
